User,Tweet,Date
InfoMigrants,"A recent report from UNHCR focuses on the support needed for refugees suffering from mental health issues. 
https://t.co/Bh2Mbj1nSH",2022-10-19 10:25:00+00:00
InfoMigrants,NGOs working in the central Mediterranean are currently reporting that 23 migrants recently rescued in the Malta SAR zone should be taken to Egypt allegedly according to instructions from RCC Malta. https://t.co/WAD2hlDdFQ,2022-10-19 10:04:47+00:00
InfoMigrants,"The EU anti-fraud office report about #Frontex, made public last Thursday, concluded that the agency was involved in covering up illegal pushbacks of migrants from Greece to Turkey in violation of their ""fundamental rights."" https://t.co/Bbfz67FTc2",2022-10-19 07:05:00+00:00
InfoMigrants,"📷 The 'Proxima' social cooperative in Sicily helps labor migrants escape the cycle of labor exploitation, also known as 'gangmaster' system.

""Here at Proxima, we are paid properly, and we are given a regular agricultural contract,"" one of the workers told us. https://t.co/zshC3O9yBZ",2022-10-18 15:59:00+00:00
InfoMigrants,RT @IOM_GMDAC: Most climate and environment-related migration and displacement currently take place within affected countries. #DRRDay #Ear…,2022-10-18 15:23:22+00:00
InfoMigrants,"~2,000 migrants tried to cross into Melilla from Morocco on June 24.

23 people died that day - the worst death toll in years of such attempted crossings into EU territory. Rights groups have accused both 🇪🇸 and 🇲🇦 authorities of using excessive force. https://t.co/CHZegDvGtm",2022-10-18 15:11:00+00:00
InfoMigrants,"""My tailoring skills are my passion. If I can find a job like that, I will be very, very happy for myself.""

Find out how the Social Tailoring initiative on the Italian island of Sicily is teaching migrants skills for the future.

#EUAntiTraffickingDay
https://t.co/nV65tKQQP5",2022-10-18 14:04:00+00:00
InfoMigrants,"RT @Refugees: Mental health support for refugees is an essential service.

Inna is a psychologist and a refugee from Ukraine herself.

Curr…",2022-10-18 13:32:30+00:00
InfoMigrants,"""If you don't have any money, you cannot cross any border.""

Some 70,000 #migrants have entered #Serbia so far this year. Some arrive on visa-free agreements, others come undocumented. All hope to move on within weeks towards western Europe and the EU.

@radosdjurovic @APC_CZA https://t.co/VIEWc5srdJ",2022-10-18 13:09:00+00:00
InfoMigrants,"RT @IOMUkraine: On #EUAntiTraffickingDay, a new IOM survey reveals:
🔷every second Ukrainian risks getting exploited amid the devastating im…",2022-10-18 12:32:04+00:00
InfoMigrants,"1,685 people have already died or gone missing so far this year, according to IOM's @MissingMigrants project.

The number of unreported cases is likely to be much higher.

@MSF_Sea #GeoBarents
https://t.co/CH2LW6gjFt",2022-10-18 12:03:57+00:00
InfoMigrants,RT @InfoMigrants: Bailey Begum from 🇧🇩 works as a street food vendor in Athens. She has been living in Greece for 4 years without documents…,2022-10-18 11:24:54+00:00
InfoMigrants,"The extended program is aimed at people involved in women's and human rights, justice and other fields as well as at-risk groups.

~26,000 Afghans have already moved to Germany, out of the 38,000 who have been granted permission. https://t.co/s0z2RvyEBz",2022-10-18 09:17:00+00:00
InfoMigrants,"RT @InfoMigrants: #Frontex top managers committed ""serious misconduct &amp; other irregularities"" in covering up #pushback incidents, not inves…",2022-10-18 08:28:42+00:00
InfoMigrants,"RT @EUHomeAffairs: Today is the #EUAntiTraffickingDay ➡️ https://t.co/9xAgw2FtbP

Trafficked persons are most often traded for sexual and l…",2022-10-18 08:18:05+00:00
InfoMigrants,"Under the 2017 agreement, Libya's coast guard can intercept and return migrant boats to Libya.

Following Saturday's protest, activists announced further actions in several other Italian cities

#Libya #migranti @RefugeesinLibya @RescueMed @abolishfrontex
https://t.co/FFwMi3kWhT",2022-10-18 07:13:00+00:00
InfoMigrants,"The European Union's border agency #Frontex has confirmed an incident in which 92 naked migrants were sent across the river Evros from Turkey to Greece last Friday.
https://t.co/HOTqE9C1w0",2022-10-17 16:27:00+00:00
InfoMigrants,"📷 Activists in Italy gathered in Naples, Rome and other Italian cities to protest against the Italy-Libya agreement.

The protests focused on human rights abuses conducted by Libya's coast guard and alleged criminalization of human rights activists.

Photo: Patrizia Cortellessa https://t.co/GRl5ufXR1D",2022-10-17 15:50:28+00:00
InfoMigrants,"#Pushbacks violate non-refoulement - a core principle of international refugee law that prohibits states from returning them to countries or territories in which their lives or freedom may be threatened on account of their race, religion, nationality, etc. https://t.co/Vq2PninrKN",2022-10-17 14:01:45+00:00
InfoMigrants,"The group was reportedly hiding in an airtight container within the refrigerated lorry.

The group of migrants hail from Iran, Iraq and Afghanistan. Among them were two children and two unaccompanied minors. https://t.co/cR4QxBTDkr",2022-10-17 12:44:00+00:00
InfoMigrants,"The increased demand for migrant labor, according to the research, is partly due to migrant workers' ""higher level of flexibility and availability of migrants"" compared to Italians.

@coldiretti #Italy #migrants
https://t.co/EviGLoOqsG",2022-10-17 11:38:15+00:00
InfoMigrants,"RT @Refugees: Once safe in Poland after fleeing the war in Ukraine, Inna decided to use her expertise as a psychologist to help fellow Ukra…",2022-10-17 11:18:57+00:00
InfoMigrants,"European officials have said 106,000 people were detected entering the EU from the Western Balkans without official documentation so far this year.

That represents a hike of 170% as compared to last year. https://t.co/j7Uk5Qx5dp",2022-10-17 10:07:15+00:00
InfoMigrants,"NGOs, UN agencies and their partners in South Sudan reunited more than 6,000 children with their families between 2013 and 2018.

But 15,000 children were still separated from their families or missing in 2018.

#MissingChild #familyreunion @SCSouthSudan
https://t.co/Se34BWaU2l",2022-10-17 08:56:54+00:00
InfoMigrants,"RT @IOM_GMDAC: 💡 Did you know? 

👥 At the end of 2021, at least 5.9 million people were living in internal displacement due to disasters (@…",2022-10-17 07:51:58+00:00
InfoMigrants,"📷 ""The experiences are unbearable and hard to process mentally.""

Over the past two years, medical charity Doctors without Borders (@MSF) has been running a special clinic in Palermo, Sicily for migrants who survived torture and violence on their way to Italy. https://t.co/q2d8TEF8xA",2022-10-17 07:02:00+00:00
InfoMigrants,"Green Left Alliance politician @Aboubakar_Soum will be the only Black member of the incumbent Parliament.

The anti-migration conservative coalition won't stop him from speaking for the poor &amp; disenfranchised from opposition ranks, he said.

#ItalyElection https://t.co/IUVSX5qWp4",2022-10-16 16:55:00+00:00
InfoMigrants,"Poverty and lack of opportunities are amongst the main reasons behind undocumented migration. Salmane's story is no different. Despite studying law and political science in his native country Senegal, he chose to leave, ending up in Turkey. This is his story. https://t.co/fATHs6Wuqo",2022-10-16 13:52:00+00:00
InfoMigrants,"Turkey has become a transit country for many migrants who want to reach Europe. Broke, desperate and undocumented, many of them face abuse and exploitation by employers who take advantage of their status.
This happened to Hasan Farooq from Pakistan. This is his story. https://t.co/jTMQlR0UNr",2022-10-15 13:50:00+00:00
InfoMigrants,"The gang was allegedly headed by a woman known as ""the betrothed's magician"" and was operating in two southern cities, Naples and Caserta.
https://t.co/a1N94eBIRA",2022-10-15 12:02:00+00:00
InfoMigrants,"📷 Around 100 migrants, among them 30 minors, arrived on a sailboat in the port of Corigliano Rossano in southern Italy on Thursday (October 13), escorted by Guardia di Finanza patrol boats.

2 local news websites reported that the body of a 17-year-old was found on the boat. https://t.co/a5KTHYK9qd",2022-10-14 15:56:00+00:00
InfoMigrants,"Human rights organization @Amnesty claims that Latvian authorities arbitrarily detained, beat and coerced migrants into 'voluntary' returns.

But Latvian politicians, including Foreign Minister @EdgarsRinkevics, have rejected the allegations. https://t.co/EObdI1TaPe",2022-10-14 15:13:00+00:00
InfoMigrants,"RT @dwnews: After videos surfaced of protesters in Germany berating Ukrainian refugees, the mayor of Leipzig decried the images from the sc…",2022-10-14 14:46:22+00:00
InfoMigrants,"Rescuers on board the #GeoBarents said sections of the rubber boat were already deflating when they arrived.

""People's lives were at stake,"" @MSF_Sea said on Twitter. https://t.co/uaLSSVHCz4",2022-10-14 14:16:23+00:00
InfoMigrants,"RT @Refugees: Making friends. 
Learning new skills. 
Dreaming big. 

Football is bringing young refugees in Libya together. https://t.co/kc…",2022-10-14 13:40:04+00:00
InfoMigrants,"""I have learnt so much from the women we have helped, most of all their generosity.""

Sister Chiara, who lives at a Franciscan nunnery in Sicily, has become a kind of mother figure for the migrants she helps. https://t.co/ki2OWkWgRc",2022-10-14 12:56:37+00:00
InfoMigrants,"RT @dw_freedom: Germany will take in more refugees in 2022 than in 2015/2016 — the majority of them from Ukraine. 
 
Cities and municipalit…",2022-10-14 12:04:27+00:00
InfoMigrants,"""The hospitality will certainly last for the Ukrainian refugees but not for the others.""

InfoMigrants' @SonyaCiesnik talked to @CNRS research fellow Catherine Wihtol de Wenden about 🇪🇺's migration policy and 'environmental refugees'.
https://t.co/kmQ4XwwGJC",2022-10-14 11:21:00+00:00
InfoMigrants,"The open letter addressed to mayor @RobertoDipiazza and other officials of the northern Italian city of #Trieste was signed by over 570 citizens.

They want asylum seekers who live on the city's streets to be able to go to emergency shelters. https://t.co/TIjklQQKnw",2022-10-14 10:15:53+00:00
InfoMigrants,"RT @UNmigration: “We know football brings a lot of joy. After the game, we talk about experiences we went through to help each other,” says…",2022-10-14 09:47:51+00:00
InfoMigrants,"#Frontex top managers committed ""serious misconduct &amp; other irregularities"" in covering up #pushback incidents, not investigating them or handling them correctly.

That's according to a report by 🇪🇺 anti-fraud office published by @fragdenstaat, media orgs. https://t.co/mu6cP0MQXU",2022-10-14 08:52:27+00:00
InfoMigrants,Bailey Begum from 🇧🇩 works as a street food vendor in Athens. She has been living in Greece for 4 years without documents. Now she's hoping for a change: the Greek government announced it wants to regularize thousands of undocumented 🇧🇩 migrants already working in Greece. https://t.co/o6weoIKvIW,2022-10-14 07:10:00+00:00
InfoMigrants,"Many migrants who arrived in Italy via Libya have have suffered some form of violence or witnessed it - sometimes extreme forms of torture and sexual abuse. 

It's for this reason that MSF and the Italian health authorities set up this clinic in Palermo 👇🏾
https://t.co/giw5IvWKXm",2022-10-13 15:34:00+00:00
InfoMigrants,"Within a few years of his arrival in 🇮🇹, Aboubakar Soumahoro became an activist helping undocumented migrants, focusing on the exploitation of farm workers. 

Now, at age 42, he won a seat in the lower house of parliament for the Green Left Alliance party.
https://t.co/JBfO9E80bW",2022-10-13 14:51:00+00:00
InfoMigrants,"A 35-year-old Eritrean man wanted by Italian authorities on human trafficking charges has been arrested in Ethiopia and extradited to Italy. 

The man is alleged to have headed a transnational migrant trafficking association.

https://t.co/xWiEMCHZJN",2022-10-13 13:55:00+00:00
InfoMigrants,"Two Bangladeshi citizens have been arrested in Italy for allegedly holding prisoners and torturing fellow Bangladeshis in Libya to force them into paying the money agreed at the start of their journey in Bangladesh.

The pair had recently arrived in Italy.
https://t.co/wK5w01DklC",2022-10-13 12:55:00+00:00
InfoMigrants,"Blessing is originally from Nigeria. She arrived in Italy four years ago and was identified as having been a victim of human trafficking. 

She found help at a social cooperative in Sicily, Proxima, that offers ""protection, help and integration projects"".

https://t.co/3ZJhDoteEi",2022-10-13 11:57:00+00:00
InfoMigrants,"The bodies of three migrants have been recovered at sea some 40 miles south of Trapani, Sicily. Coast guards said they are continuing to search for missing passengers. 

https://t.co/VT4qoFB49T",2022-10-13 10:43:00+00:00
InfoMigrants,"The mothers and sisters of missing Tunisian migrants have been protesting in the coastal town of Zarzis, demanding that authorities investigate their disappearance.

A boat carrying Tunisian migrants went missing off the coast over two weeks ago.
https://t.co/r9aHnYYNf0",2022-10-13 09:13:12+00:00
InfoMigrants,"Another deportation flight carrying 21 persons took off from Germany to flood-ridden Pakistan on Tuesday.

German asylum authorities do not consider the floods as a sufficient reason for granting asylum due to ""internal flight alternatives"".

https://t.co/d9QlW7oGk0",2022-10-12 15:53:00+00:00
InfoMigrants,"RT @UNmigration: “The mental health of migrants is everyone’s business.” 
On #MentalHealthDay, @Health_IOM’s Guglielmo Schinina on improvin…",2022-10-12 15:24:27+00:00
InfoMigrants,"RT @InfoMigrants: Rwanda has crafted an image for itself as the country of reception preferred by refugees from all over the world.

In con…",2022-10-12 12:58:25+00:00
InfoMigrants,"Germany is struggling to accommodate a rising number of asylum seekers. 

State interior ministers are under growing pressure to avert a ""refugee crisis"". 

What are the main points of concern and how will they be addressed?

https://t.co/tdDUXax0l3",2022-10-12 12:14:00+00:00
