User,Tweet,Date
SARwatchMED,"RT @ecre: Morocco arrests 25 migrants near Spanish border: https://t.co/WQDYyYrvU3

🔔Please keep in mind that the EU defines #Morocco as a…",2022-10-19 10:55:25+00:00
SARwatchMED,"RT @evaenlaradio: Una niña de 4 años ha llegado sola a #Lampedusa.
Está atendida por #SaveTheChildren y  se trabaja para reunirla pronto co…",2022-10-19 10:55:21+00:00
SARwatchMED,"RT @openarms_fund: ¡Muchas gracias #NFTCommunity!

Seguimos apoyando el proyecto 🗣️ @EmoHeadsNFT by @javirroyo.

El 10% de las ventas se de…",2022-10-19 10:55:17+00:00
SARwatchMED,RT @seawatch_intl: We strongly condemn the forcible transfer of the 23 people to Egypt and demand consequences for #Malta's numerous blatan…,2022-10-19 10:54:57+00:00
SARwatchMED,"RT @seawatch_intl: After they were finally rescued, Malta had taken 23 people to Egypt by a merchant ship. On September 26, Malta ordered t…",2022-10-19 10:54:40+00:00
SARwatchMED,"RT @seawatchcrew: Malta ließ 23 Menschen nach ihrer Rettung von einem Handelsschiff nach Ägypten bringen. Am 26. September wies Malta an, d…",2022-10-19 10:54:28+00:00
SARwatchMED,RT @RescueMed: ❗MALTA IGNORA IL PRINCIPIO DI NON RESPINGIMENTO: 23 persone soccorse in zona SAR #Malta e portate forzatamente in #Egitto su…,2022-10-19 10:54:22+00:00
SARwatchMED,RT @RescueMed: ❗MALTA IGNORES THE PRINCIPLE OF NON-REFOULEMENT: 23 people rescued in #Malta SAR zone were forcibly taken to #Egypt on instr…,2022-10-19 10:54:17+00:00
SARwatchMED,RT @resqship_int: 2/2 The refusal of the EU to take care of the sea emergencies in its own SAR zones is carried out on the innocent backs o…,2022-10-19 10:54:13+00:00
SARwatchMED,"RT @resqship_int: 1/2 Update: after many hours of enduring, the Italian Coast Guard has rescued all people on board. While our crew took ca…",2022-10-19 10:54:05+00:00
SARwatchMED,RT @DimitrisChoulis: Today the appeal court recognized the circumstances of his action&amp; convicted him but only 3 years suspended. He will b…,2022-10-19 10:54:01+00:00
SARwatchMED,RT @DimitrisChoulis: J.J. Syrian refugee left his country in 2017 in order to avoid the army recruitment. He never wanted to hurt anyone. H…,2022-10-19 10:53:57+00:00
SARwatchMED,"RT @scandura: Today in area
2022-10-19
0957z ⏱️ 11:57 CEST

✈️ Turkish Air Force 🇹🇷  AEW&amp;C 🛰️ Boeing E-7T (13-001) c/s #TURAF42 is making a…",2022-10-19 10:53:49+00:00
SARwatchMED,RT @RescueMed: ❗MALTA IGNORA IL PRINCIPIO DI NON RESPINGIMENTO: 23 persone soccorse in zona SAR #Malta e portate forzatamente in #Egitto su…,2022-10-19 10:53:32+00:00
SARwatchMED,"RT @emergency_ong: 🚢Vieni a conoscere la #LifeSupport, la #nave di #EMERGENCY per la #ricercaesoccorso #SAR nel #Mediterraneo Centrale: sal…",2022-10-19 10:52:49+00:00
SARwatchMED,RT @InfoMigrants: NGOs working in the central Mediterranean are currently reporting that 23 migrants recently rescued in the Malta SAR zone…,2022-10-19 10:52:45+00:00
SARwatchMED,RT @RescueMed: ❗MALTA IGNORES THE PRINCIPLE OF NON-REFOULEMENT: 23 people rescued in #Malta SAR zone were forcibly taken to #Egypt on instr…,2022-10-19 10:52:34+00:00
SARwatchMED,RT @daphnetoli: Disturbing footage reportedly showing Turkey's Gendarmerie “trying to prevent migrants from crossing into Greece” yesterday…,2022-10-19 10:52:30+00:00
SARwatchMED,"RT @SeebrueckeFfm: 📢 Die #GeoBarents steuert derzeit nach Norden, und die aktive Suche übernimmt @soshumanity_de mit #Humanity1.

Nach Miss…",2022-10-19 10:52:21+00:00
SARwatchMED,RT @SeaWatchItaly: ⭕ 23 persone soccorse dalla nave mercantile Shimanami Queen sono state respinte in Egitto. Malta è responsabile di una g…,2022-10-19 10:52:16+00:00
SARwatchMED,"RT @MSF_Prensa: 🔴Mediterráneo central.
@MSF_Sea, @alarm_phone, @RescueMed y @seawatch_intl denuncian que #Malta ordenó al mercante Shimanam…",2022-10-19 10:52:11+00:00
SARwatchMED,"RT @ecre: Friendly reminder to EU and Member States:
🔴Refugees' rights are human rights.
🔴Saving lives is not a crime. It's a duty &amp; respon…",2022-10-19 10:52:07+00:00
SARwatchMED,"RT @seawatchcrew: Seenotrettung ist kein Verbrechen!
Solidarität mit @IuventaCrew! #DropTheCharges https://t.co/Yrqc7K0eyC",2022-10-19 10:52:03+00:00
SARwatchMED,"RT @DomaniGiornale: 🔴🔴 Le autorità maltesi hanno respinto illegalmente 23 #migranti, inclusi bambini. Li hanno rispediti in Egitto, paese d…",2022-10-19 10:51:59+00:00
SARwatchMED,"RT @MSF_Prensa: 🔴Denuncia
#Malta viola el principio de no devolución y demora los salvamentos en su zona de responsabilidad de búsqueda y s…",2022-10-19 10:51:55+00:00
SARwatchMED,"RT @ecre: ➡️#Malta again violates the principle of non-refoulement
➡️#Matla again sends people seeking protection to countries like Egypt t…",2022-10-19 10:51:52+00:00
